09-23-2026 01:59:24 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.156C soc2@44.343C soc0@45.406C gpu@45.281C tj@45.406C soc1@44.968C VDD_IN 4489mW/4514mW VDD_CPU_GPU_CV 524mW/521mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:25 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.406C soc2@44.5C soc0@45.375C gpu@45.093C tj@45.406C soc1@44.937C VDD_IN 4489mW/4513mW VDD_CPU_GPU_CV 524mW/521mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:25 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.437C soc2@44.5C soc0@45.343C gpu@44.968C tj@45.437C soc1@45.125C VDD_IN 4489mW/4511mW VDD_CPU_GPU_CV 484mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:26 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,4%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.093C soc2@44.343C soc0@45.343C gpu@45.312C tj@45.343C soc1@44.875C VDD_IN 4523mW/4512mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:26 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.218C soc2@44.437C soc0@45.25C gpu@45.218C tj@45.25C soc1@44.937C VDD_IN 4482mW/4510mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:27 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,3%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.343C soc2@44.468C soc0@45.375C gpu@45.25C tj@45.343C soc1@45.062C VDD_IN 4563mW/4513mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:27 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.156C soc2@44.406C soc0@45.5C gpu@45.406C tj@45.406C soc1@44.937C VDD_IN 4523mW/4513mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:28 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.468C soc2@44.437C soc0@45.312C gpu@45.125C tj@45.468C soc1@45.031C VDD_IN 4489mW/4512mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:28 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.406C soc0@45.468C gpu@45.375C tj@45.468C soc1@45C VDD_IN 4489mW/4511mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:29 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.25C soc2@44.468C soc0@45.312C gpu@45.031C tj@45.312C soc1@45.031C VDD_IN 4489mW/4510mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
