09-23-2026 02:00:04 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.406C soc2@45.625C soc0@46.031C gpu@47.937C tj@47.937C soc1@45.343C VDD_IN 10429mW/8341mW VDD_CPU_GPU_CV 6150mW/4201mW VDD_SOC 1353mW/1360mW
09-23-2026 02:00:05 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.437C soc2@45.687C soc0@46.125C gpu@47.937C tj@47.937C soc1@45.437C VDD_IN 10350mW/8485mW VDD_CPU_GPU_CV 6150mW/4341mW VDD_SOC 1353mW/1359mW
09-23-2026 02:00:05 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.531C soc2@45.812C soc0@46.125C gpu@48.343C tj@48.343C soc1@45.531C VDD_IN 10350mW/8609mW VDD_CPU_GPU_CV 6150mW/4461mW VDD_SOC 1353mW/1359mW
09-23-2026 02:00:06 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.656C soc2@46.062C soc0@46.218C gpu@48.156C tj@48.156C soc1@45.656C VDD_IN 10350mW/8718mW VDD_CPU_GPU_CV 6150mW/4567mW VDD_SOC 1353mW/1358mW
09-23-2026 02:00:06 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.593C soc2@45.906C soc0@46.468C gpu@48.125C tj@48.125C soc1@45.875C VDD_IN 10350mW/8814mW VDD_CPU_GPU_CV 6150mW/4660mW VDD_SOC 1353mW/1358mW
09-23-2026 02:00:07 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.625C soc2@45.937C soc0@46.531C gpu@48.312C tj@48.312C soc1@45.687C VDD_IN 10350mW/8899mW VDD_CPU_GPU_CV 6150mW/4743mW VDD_SOC 1353mW/1358mW
09-23-2026 02:00:07 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.843C soc2@46.093C soc0@46.406C gpu@48.312C tj@48.312C soc1@45.781C VDD_IN 10350mW/8975mW VDD_CPU_GPU_CV 6150mW/4817mW VDD_SOC 1353mW/1358mW
09-23-2026 02:00:08 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.875C soc2@46.156C soc0@46.468C gpu@48.718C tj@48.718C soc1@45.843C VDD_IN 10350mW/9044mW VDD_CPU_GPU_CV 6150mW/4883mW VDD_SOC 1353mW/1357mW
09-23-2026 02:00:08 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.875C soc2@46.125C soc0@46.468C gpu@48.5C tj@48.5C soc1@45.906C VDD_IN 10350mW/9106mW VDD_CPU_GPU_CV 6150mW/4944mW VDD_SOC 1353mW/1357mW
09-23-2026 02:00:09 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47C soc2@46.218C soc0@46.687C gpu@48.75C tj@48.75C soc1@45.968C VDD_IN 10350mW/9163mW VDD_CPU_GPU_CV 6150mW/4999mW VDD_SOC 1353mW/1357mW
