09-23-2026 02:17:35 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,13%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 1%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.031C soc2@54.562C soc0@55.343C gpu@54.406C tj@55.343C soc1@55.156C VDD_IN 5080mW/4942mW VDD_CPU_GPU_CV 599mW/610mW VDD_SOC 1400mW/1379mW
09-23-2026 02:17:35 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,8%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 1%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.937C soc2@54.437C soc0@55.281C gpu@54.625C tj@55.281C soc1@55.125C VDD_IN 5080mW/4952mW VDD_CPU_GPU_CV 599mW/609mW VDD_SOC 1400mW/1380mW
09-23-2026 02:17:36 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,1%@1344,7%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55C soc2@54.5C soc0@55.187C gpu@54.343C tj@55.343C soc1@55.156C VDD_IN 5080mW/4960mW VDD_CPU_GPU_CV 599mW/608mW VDD_SOC 1400mW/1382mW
09-23-2026 02:17:36 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,7%@1344,3%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 1%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.937C soc2@54.375C soc0@55.25C gpu@54.218C tj@55.25C soc1@55.093C VDD_IN 5080mW/4968mW VDD_CPU_GPU_CV 599mW/608mW VDD_SOC 1400mW/1383mW
09-23-2026 02:17:37 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,0%@1344,7%@1344,7%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.625C soc2@54.343C soc0@55.125C gpu@54.218C tj@55.125C soc1@54.843C VDD_IN 5080mW/4974mW VDD_CPU_GPU_CV 599mW/607mW VDD_SOC 1400mW/1384mW
09-23-2026 02:17:37 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,7%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.625C soc2@54.281C soc0@54.937C gpu@54.062C tj@54.937C soc1@54.718C VDD_IN 5080mW/4980mW VDD_CPU_GPU_CV 599mW/607mW VDD_SOC 1360mW/1383mW
09-23-2026 02:17:38 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [7%@1344,3%@1344,0%@1344,4%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 1%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.625C soc2@54.218C soc0@54.875C gpu@54.312C tj@54.875C soc1@54.75C VDD_IN 5080mW/4986mW VDD_CPU_GPU_CV 599mW/606mW VDD_SOC 1360mW/1381mW
09-23-2026 02:17:38 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [8%@1344,13%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.656C soc2@54.218C soc0@54.937C gpu@54.125C tj@54.937C soc1@54.843C VDD_IN 5120mW/4992mW VDD_CPU_GPU_CV 599mW/606mW VDD_SOC 1400mW/1382mW
09-23-2026 02:17:39 RAM 1930/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [3%@1344,36%@1344,0%@1344,0%@1344,3%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 5%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@54.125C soc0@55C gpu@53.875C tj@55C soc1@54.812C VDD_IN 5240mW/5004mW VDD_CPU_GPU_CV 678mW/609mW VDD_SOC 1400mW/1383mW
09-23-2026 02:17:39 RAM 1944/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@729,13%@729,1%@729,1%@729,0%@729,0%@729] EMC_FREQ 12%@2133 GR3D_FREQ 93%@[911] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.781C soc2@54.343C soc0@54.75C gpu@55.062C tj@55.062C soc1@54.5C VDD_IN 8771mW/5175mW VDD_CPU_GPU_CV 2583mW/699mW VDD_SOC 2030mW/1413mW
