09-23-2026 02:14:47 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.25C soc2@50.5C soc0@50.843C gpu@52.406C tj@52.406C soc1@50.406C VDD_IN 10469mW/8312mW VDD_CPU_GPU_CV 6180mW/4090mW VDD_SOC 1391mW/1386mW
09-23-2026 02:14:47 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C soc2@50.625C soc0@50.968C gpu@52.406C tj@52.406C soc1@50.468C VDD_IN 10469mW/8466mW VDD_CPU_GPU_CV 6180mW/4239mW VDD_SOC 1391mW/1387mW
09-23-2026 02:14:48 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.093C soc2@50.625C soc0@51.093C gpu@52.718C tj@52.718C soc1@50.562C VDD_IN 10469mW/8600mW VDD_CPU_GPU_CV 6180mW/4368mW VDD_SOC 1391mW/1387mW
09-23-2026 02:14:48 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@50.656C soc0@51.125C gpu@52.468C tj@52.468C soc1@50.343C VDD_IN 10469mW/8717mW VDD_CPU_GPU_CV 6219mW/4484mW VDD_SOC 1391mW/1387mW
09-23-2026 02:14:49 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 97%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.406C soc2@50.781C soc0@51.062C gpu@52.531C tj@52.531C soc1@50.437C VDD_IN 10469mW/8820mW VDD_CPU_GPU_CV 6219mW/4586mW VDD_SOC 1391mW/1387mW
09-23-2026 02:14:49 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [3%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@50.812C soc0@51.062C gpu@52.875C tj@52.875C soc1@50.531C VDD_IN 10469mW/8911mW VDD_CPU_GPU_CV 6219mW/4677mW VDD_SOC 1391mW/1388mW
09-23-2026 02:14:50 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@50.781C soc0@51.125C gpu@52.593C tj@52.593C soc1@50.625C VDD_IN 10469mW/8993mW VDD_CPU_GPU_CV 6180mW/4756mW VDD_SOC 1393mW/1388mW
09-23-2026 02:14:50 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C soc2@50.843C soc0@51.156C gpu@52.656C tj@52.656C soc1@50.5C VDD_IN 10509mW/9069mW VDD_CPU_GPU_CV 6180mW/4827mW VDD_SOC 1391mW/1388mW
09-23-2026 02:14:51 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.312C soc2@50.812C soc0@51.218C gpu@52.718C tj@52.718C soc1@50.687C VDD_IN 10469mW/9136mW VDD_CPU_GPU_CV 6180mW/4892mW VDD_SOC 1391mW/1388mW
09-23-2026 02:14:51 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,3%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.406C soc2@50.843C soc0@51.281C gpu@52.875C tj@52.875C soc1@50.75C VDD_IN 10350mW/9191mW VDD_CPU_GPU_CV 6061mW/4945mW VDD_SOC 1393mW/1388mW
09-23-2026 02:14:52 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.343C soc2@50.875C soc0@51.156C gpu@52.937C tj@52.937C soc1@50.687C VDD_IN 10310mW/9240mW VDD_CPU_GPU_CV 6021mW/4992mW VDD_SOC 1393mW/1389mW
09-23-2026 02:14:52 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.468C soc2@50.937C soc0@51.218C gpu@52.75C tj@52.75C soc1@50.656C VDD_IN 10270mW/9283mW VDD_CPU_GPU_CV 6021mW/5034mW VDD_SOC 1393mW/1389mW
